,Course,Date,Tee Time
0,Hansen Dam Golf Course,2023-05-27,16:30:00
1,Hansen Dam Golf Course,2023-05-27,16:50:00
2,Balboa Golf Course,2023-05-27,16:10:00
3,Balboa Golf Course,2023-05-27,16:50:00
4,Woodley Lakes Golf Course,2023-05-27,16:00:00
5,Woodley Lakes Golf Course,2023-05-27,16:10:00
6,Woodley Lakes Golf Course,2023-05-27,16:40:00
7,Woodley Lakes Golf Course,2023-05-27,16:50:00
8,Hansen Dam Golf Course,2023-05-28,16:30:00
9,Balboa Golf Course,2023-05-28,06:00:00
10,Balboa Golf Course,2023-05-28,06:40:00
11,Balboa Golf Course,2023-05-28,16:40:00
12,Balboa Golf Course,2023-05-28,16:50:00
13,Woodley Lakes Golf Course,2023-05-28,16:20:00
14,Woodley Lakes Golf Course,2023-05-28,16:40:00
15,Woodley Lakes Golf Course,2023-05-28,16:50:00
